pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
30,上海,0.8,39,优,61,aqi_redis_spider,20,2018-05-12 08:19:31.411000,2014-01-06,43,50
46,上海,0.9,51,良,59,aqi_redis_spider,18,2018-05-12 08:19:31.413000,2014-01-07,63,58
38,上海,0.7,36,良,61,aqi_redis_spider,17,2018-05-12 08:19:31.416000,2014-01-08,54,39
29,上海,0.6,55,良,58,aqi_redis_spider,19,2018-05-12 08:19:31.418000,2014-01-09,53,29
8,上海,0.6,8,优,55,aqi_redis_spider,9,2018-05-12 08:19:31.420000,2014-02-06,28,23
12,上海,0.5,13,优,53,aqi_redis_spider,9,2018-05-12 08:19:31.423000,2014-02-07,27,23
41,上海,0.8,46,良,66,aqi_redis_spider,18,2018-05-12 08:19:31.426000,2014-02-08,57,24
45,上海,0.7,53,良,63,aqi_redis_spider,17,2018-05-12 08:19:31.428000,2014-02-09,63,21
22,上海,0.6,41,优,84,aqi_redis_spider,14,2018-05-12 08:19:31.431000,2014-03-06,42,32
24,上海,0.5,42,优,88,aqi_redis_spider,14,2018-05-12 08:19:31.433000,2014-03-07,44,38
45,上海,0.6,59,良,116,aqi_redis_spider,16,2018-05-12 08:19:31.435000,2014-03-08,63,32
80,上海,1,101,轻度污染,93,aqi_redis_spider,31,2018-05-12 08:19:31.438000,2014-03-09,107,76
34,上海,0.5,56,良,104,aqi_redis_spider,12,2018-05-12 08:19:31.443000,2014-04-07,53,36
65,上海,0.7,76,良,95,aqi_redis_spider,17,2018-05-12 08:19:31.445000,2014-04-08,87,64
67,上海,0.7,69,良,120,aqi_redis_spider,12,2018-05-12 08:19:31.447000,2014-04-09,90,48
60,上海,0.7,76,良,144,aqi_redis_spider,14,2018-05-12 08:19:31.449000,2014-04-10,87,56
50,上海,0.6,69,良,107,aqi_redis_spider,10,2018-05-12 08:19:31.452000,2014-04-11,69,35
42,上海,0.6,87,良,148,aqi_redis_spider,18,2018-05-12 08:19:31.454000,2014-05-07,90,38
72,上海,0.9,112,轻度污染,162,aqi_redis_spider,24,2018-05-12 08:19:31.457000,2014-05-08,102,54
47,上海,0.7,63,良,117,aqi_redis_spider,12,2018-05-12 08:19:31.460000,2014-05-09,66,37
39,上海,0.7,48,良,103,aqi_redis_spider,7,2018-05-12 08:19:31.463000,2014-05-10,55,24
59,上海,0.6,77,轻度污染,161,aqi_redis_spider,10,2018-05-12 08:19:31.465000,2014-06-07,101,31
41,上海,0.5,50,良,97,aqi_redis_spider,7,2018-05-12 08:19:31.467000,2014-06-08,57,25
30,上海,0.5,44,良,105,aqi_redis_spider,9,2018-05-12 08:19:31.470000,2014-06-09,54,21
26,上海,0.6,40,优,74,aqi_redis_spider,8,2018-05-12 08:19:31.473000,2014-06-10,40,25
56,上海,0.6,50,良,155,aqi_redis_spider,10,2018-05-12 08:19:31.482000,2015-06-01,96,22
43,上海,0.7,39,良,95,aqi_redis_spider,8,2018-05-12 08:19:31.485000,2015-06-02,60,42
113,上海,1.5,148,轻度污染,39,aqi_redis_spider,68,2018-05-12 08:19:31.779000,2013-12-11,148,70
95,上海,1.2,137,轻度污染,47,aqi_redis_spider,49,2018-05-12 08:19:31.782000,2013-12-12,126,77
118,上海,1.4,146,中度污染,51,aqi_redis_spider,46,2018-05-12 08:19:31.784000,2013-12-13,154,69
52,上海,0.8,73,良,55,aqi_redis_spider,26,2018-05-12 08:19:31.787000,2013-12-14,71,60
54,上海,0.9,58,良,123,aqi_redis_spider,12,2018-05-12 08:19:31.790000,2014-07-06,74,33
46,上海,0.8,58,良,105,aqi_redis_spider,18,2018-05-12 08:19:31.793000,2014-07-07,64,38
25,上海,0.6,35,优,91,aqi_redis_spider,8,2018-05-12 08:19:31.796000,2014-07-08,46,24
24,上海,0.7,44,优,59,aqi_redis_spider,11,2018-05-12 08:19:31.798000,2014-07-09,44,20
28,上海,0.9,79,良,50,aqi_redis_spider,30,2018-05-12 08:19:31.800000,2014-12-02,64,46
61,上海,1.1,84,良,26,aqi_redis_spider,28,2018-05-12 08:19:31.803000,2014-12-03,82,74
82,上海,1.3,122,轻度污染,42,aqi_redis_spider,51,2018-05-12 08:19:31.806000,2014-12-04,108,68
79,上海,1.1,120,轻度污染,46,aqi_redis_spider,51,2018-05-12 08:19:31.810000,2014-12-05,105,65
35,上海,0.8,45,良,132,aqi_redis_spider,10,2018-05-12 08:19:37.001000,2015-07-01,77,40
61,上海,0.9,72,轻度污染,166,aqi_redis_spider,12,2018-05-12 08:19:37.004000,2015-07-02,105,42
56,上海,0.7,92,轻度污染,194,aqi_redis_spider,18,2018-05-12 08:19:37.015000,2015-08-01,131,31
49,上海,0.8,67,良,159,aqi_redis_spider,13,2018-05-12 08:19:37.025000,2015-09-01,100,32
39,上海,0.9,70,良,104,aqi_redis_spider,14,2018-05-12 08:19:37.036000,2015-10-01,60,27
38,上海,0.9,52,良,68,aqi_redis_spider,14,2018-05-12 08:19:37.066000,2015-11-01,68,54
60,上海,1,60,良,80,aqi_redis_spider,17,2018-05-12 08:19:37.083000,2015-12-01,88,70
100,上海,1.2,133,轻度污染,52,aqi_redis_spider,40,2018-05-12 08:19:37.087000,2015-01-03,131,80
146,上海,1.6,180,中度污染,36,aqi_redis_spider,60,2018-05-12 08:19:37.090000,2015-01-04,194,143
83,上海,1,118,轻度污染,47,aqi_redis_spider,28,2018-05-12 08:19:37.092000,2015-01-05,110,82
92,上海,1.1,115,轻度污染,56,aqi_redis_spider,24,2018-05-12 08:19:37.095000,2015-01-06,121,45
27,上海,0.6,38,优,42,aqi_redis_spider,16,2018-05-12 08:19:37.098000,2015-02-02,39,50
37,上海,0.7,50,良,35,aqi_redis_spider,21,2018-05-12 08:19:37.101000,2015-02-03,52,65
172,上海,1.5,199,重度污染,75,aqi_redis_spider,57,2018-05-12 08:19:37.103000,2015-02-04,222,76
102,上海,1.1,115,轻度污染,75,aqi_redis_spider,36,2018-05-12 08:19:37.106000,2015-02-05,134,60
109,上海,1.1,115,轻度污染,125,aqi_redis_spider,21,2018-05-12 08:19:37.109000,2015-03-02,143,51
82,上海,0.9,62,轻度污染,112,aqi_redis_spider,17,2018-05-12 08:19:37.111000,2015-03-03,109,39
20,上海,0.7,49,优,80,aqi_redis_spider,13,2018-05-12 08:19:37.114000,2015-03-04,49,24
15,上海,0.6,34,优,76,aqi_redis_spider,10,2018-05-12 08:19:37.116000,2015-03-05,38,27
42,上海,0.7,67,良,115,aqi_redis_spider,13,2018-05-12 08:19:37.119000,2015-04-02,63,43
69,上海,1.2,56,良,83,aqi_redis_spider,14,2018-05-12 08:19:37.121000,2015-04-03,93,44
63,上海,1.2,75,良,88,aqi_redis_spider,14,2018-05-12 08:19:37.124000,2015-04-04,85,50
54,上海,0.9,49,良,85,aqi_redis_spider,12,2018-05-12 08:19:37.127000,2015-04-05,74,44
51,上海,0.7,58,良,130,aqi_redis_spider,9,2018-05-12 08:19:37.130000,2015-05-02,75,28
57,上海,0.9,69,良,131,aqi_redis_spider,13,2018-05-12 08:19:37.132000,2015-05-03,78,29
77,上海,1.1,114,轻度污染,147,aqi_redis_spider,17,2018-05-12 08:19:37.135000,2015-05-04,102,51
20,上海,0.5,69,良,128,aqi_redis_spider,10,2018-05-12 08:19:37.139000,2015-05-05,73,40
28,上海,0.7,47,良,146,aqi_redis_spider,11,2018-05-12 08:19:37.143000,2014-08-06,88,22
20,上海,0.5,35,优,87,aqi_redis_spider,10,2018-05-12 08:19:37.145000,2014-08-07,44,19
24,上海,0.6,40,优,52,aqi_redis_spider,11,2018-05-12 08:19:37.148000,2014-08-08,40,20
29,上海,0.6,41,优,52,aqi_redis_spider,9,2018-05-12 08:19:37.150000,2014-08-09,41,36
34,上海,0.7,47,良,131,aqi_redis_spider,11,2018-05-12 08:19:37.153000,2014-09-07,76,28
38,上海,0.7,53,良,134,aqi_redis_spider,13,2018-05-12 08:19:37.156000,2014-09-08,78,28
33,上海,0.6,46,良,114,aqi_redis_spider,11,2018-05-12 08:19:37.160000,2014-09-09,62,23
30,上海,0.7,52,良,132,aqi_redis_spider,14,2018-05-12 08:19:37.168000,2014-10-07,77,34
23,上海,0.8,45,良,115,aqi_redis_spider,12,2018-05-12 08:19:37.171000,2014-10-08,63,41
